,City,Country,Date,Latitude,Longitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,1666577219,-23.1203,-134.9692,73.11,73.11,82,76,12.41
1,Vaini,TO,1666577210,-21.2,-175.2,77.16,77.16,65,20,14.97
2,Albany,US,1666577106,42.6001,-73.9662,50.67,52.54,82,100,1.92
3,George Town,MY,1666577209,5.4112,100.3354,82.53,84.13,78,20,0.0
4,Puerto Ayora,EC,1666577321,-0.7393,-90.3518,66.54,66.54,87,82,5.99
5,Yulara,AU,1666577377,-25.2406,130.9889,79.92,79.92,33,0,9.89
6,Chokurdakh,RU,1666577236,70.6333,147.9167,-2.36,-2.36,95,73,7.52
7,Bredasdorp,ZA,1666577235,-34.5322,20.0403,59.05,59.05,94,32,4.68
8,Provideniya,RU,1666577239,64.3833,-173.3,28.51,28.51,74,100,2.24
9,Torbay,CA,1666577240,47.6666,-52.7314,52.02,53.28,92,52,4.0
10,Kumul,CN,1666577378,42.8,93.45,55.17,55.17,28,3,9.62
11,Upernavik,GL,1666577254,72.7868,-56.1549,22.23,22.23,76,37,6.17
12,Bethel,US,1666577207,41.3712,-73.414,54.86,57.29,68,100,8.05
13,Jamestown,US,1666577213,42.097,-79.2353,52.83,56.84,59,0,5.75
14,Ribeira Grande,PT,1666577238,38.5167,-28.7,63.77,63.77,75,58,8.99
15,Hervey Bay,AU,1666577380,-25.2986,152.8535,75.52,75.52,72,76,10.11
16,Dikson,RU,1666577380,73.5069,80.5464,27.93,27.93,81,100,21.27
17,Carnarvon,AU,1666577381,-24.8667,113.6333,70.43,70.43,62,26,17.36
18,Hermanus,ZA,1666577225,-34.4187,19.2345,64.8,64.8,85,35,10.94
19,Geraldton,AU,1666577214,-28.7667,114.6,65.75,65.75,63,100,17.81
20,Nipawin,CA,1666577381,53.3668,-104.0009,30.09,30.09,92,100,12.82
21,Alofi,NU,1666577382,-19.0595,-169.9187,76.59,76.59,80,100,18.01
22,Goundam,ML,1666577127,16.4145,-3.6708,83.03,83.03,16,76,12.46
23,Lebu,CL,1666577229,-37.6167,-73.65,47.97,47.97,86,100,8.77
24,Ilulissat,GL,1666577382,69.2167,-51.1,28.42,28.42,93,75,0.0
25,Severo-Kuril'sk,RU,1666577219,50.6789,156.125,39.34,39.34,77,60,5.1
26,Cidreira,BR,1666577383,-30.1811,-50.2056,58.35,58.35,83,0,3.53
27,Yellowknife,CA,1666577211,62.456,-114.3525,28.92,28.92,100,75,3.44
28,Chui,UY,1666577384,-33.6971,-53.4616,55.92,55.92,94,32,5.41
29,Ushuaia,AR,1666577208,-54.8,-68.3,42.46,42.46,87,0,5.75
30,Torit,SS,1666577385,4.4133,32.5678,70.21,70.21,88,3,0.63
31,Saint-Philippe,RE,1666577345,-21.3585,55.7679,67.59,67.59,82,45,8.05
32,Meulaboh,ID,1666577385,4.1363,96.1285,79.77,79.77,83,100,4.32
33,Cuenca,EC,1666577322,-2.8833,-78.9833,57.11,57.11,95,100,3.31
34,Leningradskiy,RU,1666577386,69.3833,178.4167,21.15,21.15,93,100,12.8
35,Punta Arenas,CL,1666577215,-53.15,-70.9167,44.71,44.71,70,0,13.8
36,Atuona,PF,1666577188,-9.8,-139.0333,77.11,77.11,75,2,17.34
37,Cintalapa,MX,1666577386,16.6951,-93.7272,69.13,69.13,96,76,2.08
38,Butaritari,KI,1666577250,3.0707,172.7902,81.34,81.34,76,18,10.36
39,Mahébourg,MU,1666577387,-20.4081,57.7,70.09,70.25,94,75,4.61
40,San Andrés,CO,1666577387,12.5847,-81.7006,84.22,84.22,79,40,8.05
